BUILDING,ROOM,8am_9am,9am_10am,10am_11am,11am_12noon,12noon_1pm,1pm_2pm,2pm_3pm,3pm_4pm,4pm_5pm,5pm_6pm,6pm_7pm,7pm_8pm,
CEDS,MKT LAB,,,MKT317,MKT317,,,BREAK TIME,,,,,,
CHAPEL,CHAPEL,TMC111,,,,,,BREAK TIME,,,,,,
CHE,200LH,,CHE515,,,,MAT211,BREAK TIME,,,,,,
CHE,300LH,,CHE317/CHE334,CHE315,CHE315,CHE310/331,CHE310/CHE331,BREAK TIME,,,,,,
,,,,,,,,,,,,,,
CHE,400LH,CHE416/CHE436,,CHE414/CHE434,CHE414/CHE434,,,BREAK TIME,,,,,,
,,,,,,,,,,,,,,
CHE,500LH,,CHE530,CHE513/C HE533,CHE513/CHE533,CHE512/C HE532,CHE512/CHE532,BREAK TIME,,,,,,
,,,,,,,,,,,,,,
CHE,CENTRE CLASS,,CHE514,MAT318,MAT318,MAT312,MAT312,BREAK TIME,MAT331,MAT331,,,,
CHE,CHE LAB,,,,,,,BREAK TIME,CHE312/332,CHE312/33 2,CHE312/332,,,
,,,,,,,,,,,,,,
CLDS/CMSS,A201,SOC313,SOC313,IRH315,STS/PSS41 3,STS/PSS41 3,FIN411,BREAK TIME,POS212,POS212,ENG314,ENG314,,
,,,,,,,,,,,,,,
CLDS/CMSS,B301,FIN211,FIN211,ECN411,ECN411,ECN412,ECN412,BREAK TIME,POS111,CBS111,BUS419,BUS419,,
CLDS/CMSS,C301,ACC311,ACC311,PRE318,PRE318,ACC215,ACC215,BREAK TIME,BUS410,BUS410,ECN317,ECN317,,
CLDS/CMSS,C401,MAC213,MAC213,IRH411,IRH411,MAC318,MAC318,BREAK TIME,BUS313,CBS111,MAC411,MAC411,,
CLDS/CMSS,E101,,,SOC312,SOC312,SOC417,SOC417,BREAK TIME,,CBS111,ENG418,ENG418,,
CLDS/CMSS,E201,PSI417,,PRE416,PRE416,PRE313,PRE313,BREAK TIME,ECN215,CBS111,,ACC119,,
CLDS/CMSS,E301,FIN211,FIN211,SOC411,SOC411,PSY317,PSY317,BREAK TIME,FIN316,BUS311,IRL414,IRL414,,
CLDS/CMSS,E401A,SOC213,SOC213,ENG315,ENG315,IRH415,BUS414,BREAK TIME,,DSS412,DSS412,,,
CLDS/CMSS,E401B,PSI/PAD31 3,PSI/PAD31 3,DSS313,DSS313,PSS311,PSS311,BREAK TIME,PSS411,PSS/STS31 2,SOC412,SOC412,,
,,,,,,,,,,,,,,
CLDS/CMSS,F301,PSY213,PSY213,MKT411,MKT411,PSY418,PSY418,BREAK TIME,POS111,HMD211,FIN418,FIN418,,
CLDS/CMSS,F401,FIN211,FIN211,ENG114,ENG114,DSS314,DSS314,BREAK TIME,POS111,ACC212,,,,
CLDS/CMSS,G201,PSS412,PSI111,IRL413,IRL413,IRL411,FIN411,BREAK TIME,ENG111,ENG111,FRE332,FRE332,,
CLDS/CMSS,G301,PSI214,PSI214,FIN412,FIN412,SOC211,SOC211,BREAK TIME,POS111,ACC212,MAC311,MAC311,,
CLDS/CMSS,H301,FIN211,FIN211,IRL311,PSI318,FIN212,FIN212,BREAK TIME,ECN311,ECN311,MAC217,MAC217,,
CLDS/CMSS,H401,FIN211,FIN211,ACC411,ACC411,MKT311,MKT311,BREAK TIME,PSI315,IRL417,BUS314,,,
CLDS/CMSS,LANG LAB,,,,,FRE211,FRE211,BREAK TIME,,,,,,
CLDS/CMSS,MASS COMM STUDIO,MAC310,MAC310,MAC414,MAC414,MAC335,MAC335,BREAK TIME,MAC315,MAC315,MAC334,MAC334,,
,,,,,,,,,,,,,,
CLDS/CMSS,PSY LAB,ENG418,ENG418,PSY410,PSY410,PSY212,PSY212,BREAK TIME,PSY315,PSY315,,,,
CST,BCH LAB,BCH215,BCH215,BCH433,BCH433,,,BREAK TIME,BCH215,BCH215,,,,
CST,BIOLAB,BIO311,BIO311,BIO318,BIO318,BIO419,BIO419,BREAK TIME,BIO313,BIO316,BIO316,BIO316,,
CST,CHEM LAB (HALL113),,CHM359,CHM359,CHM359,,,BREAK TIME,,,,,,
,,,,,,,,,,,,,,
CST,CHEMLAB(HALL 111),,,,,CHM333,CHM333,BREAK TIME,CHM119,CHM119,CHM119,,,
,,,,,,,,,,,,,,
CST,CHEMLAB(HALL 112),,,,,CHM455,CHM455,BREAK TIME,CHM312,CHM312,,,,
,,,,,,,,,,,,,,
CST,COMPUTER LAB,CSC314,CSC314,CSC411,CSC411,CSC310,CSC310,BREAK TIME,MIS412,MIS412,CIT310,ACC119,,
CST,HALL105(PHY LAB),,,PHY335,PHY335,PHY317,PHY317,BREAK TIME,PHY311/41 9,PHY311/41 9,,,,
,,,,,,,,,,,,,,
CST,HALL107,EIE314,BIO111,BIO111,BIO111,CSC413,CSC413,BREAK TIME,CSC433,CSC433,CHM211,CHM211,,
CST,HALL108,CHM332,CHM213,CHM431,CHM431,BLD511,BLD511,BREAK TIME,BLD212,BLD212,BLD212,,,
CST,HALL201,BCH317/33 1,BCH317/33 1,BLD513,BLD513,BLD418,BLD418,BREAK TIME,CHM499,CHM499,,,,
,,,,,,,,,,,,,,
CST,HALL202,MAT210,MAT210,BLD411,BLD411,BCH216,BCH216,BREAK TIME,ESM512,ESM512,,,,
CST,HALL203,BIO418,,CSC319,CSC319,BCH431,BCH431,BREAK TIME,BLD414,BLD414,BLD414,,,
CST,HALL204,MCB313,MCB313,BLD315,BLD315,MAT415,MAT415,BREAK TIME,MAT411,MAT411,,,,
CST,HALL213(PHY LAB),PHY313,PHY313,PHY436,PHY436,PHY434,PHY434,BREAK TIME,PHY217,PHY217,,,,
,,,,,,,,,,,,,,
CST,HALL302(PHY LAB),PHY232/31 5/PET312,PHY232/31 5/PET312,PHY318,PHY318,PHY211,PHY211,BREAK TIME,PHY119,PHY119,PHY119,,,
,,,,,,,,,,,,,,
CST,HALL306,MAT412,,MAT413,MAT413,ESM312,ESM312,BREAK TIME,MAT214,MAT214,,,,
CST,HALL307,MAT315,MAT315,ESM516,ESM516,MCB212,MCB212,BREAK TIME,BIO414,BIO414,ESM314,ESM314,,
CST,HALL308,ESM311,ESM311,BLD113,BLD113,BLD311,BLD311,BREAK TIME,BCH439,BCH439,BCH434,,,
CST,MCB LAB(HALL212),,,MCB415,MCB415,MCB415,MCB316,BREAK TIME,MCB411,MCB411,MCB411,,,
,,,,,,,,,,,,,,
CST,PHYLAB,,,,,,,BREAK TIME,,,,,,
CST,STUDIO100,,,ARC111,ARC111,,,BREAK TIME,ARC112,ARC112,,,,
CST,STUDIO200,,,,,ARC214,ARC214,BREAK TIME,ARC211,ARC211,ARC211,ARC211,,
CST,STUDIO300,ARC318,ARC318,ARC316,ARC316,ARC313,ARC316,BREAK TIME,ARC311,ARC311,ARC311,ARC311,,
CST,STUDIO400,,,ARC415,ARC415,ARC414,ARC414,BREAK TIME,ARC411,ARC411,ARC411,ARC411,,
CVE,200LH,CEN317,CEN317,,,,,BREAK TIME,,,,,,
CVE,300LH,CVE318/33 8,CVE318/33 8,CVE311/33 1,CVE311/33 1,CVE335,CVE335,BREAK TIME,,,,,,
,,,,,,,,,,,,,,
CVE,400LH,EIE412,,CVE438,CVE438,CVE434,CVE434,BREAK TIME,CVE414/43 2,CVE414/43 2,,,,
,,,,,,,,,,,,,,
CVE,500LH,CVE536,CVE536,CVE535,CVE535,CVE539,CVE539,BREAK TIME,CVE336/31 6,CVE337,,,,
,,,,,,,,,,,,,,
EIE,CEN500LH,,,CEN511,CEN511,CEN512,CEN512,BREAK TIME,CEN515,CEN515,CEN515,,,
EIE,EIE500LH,EIE512,EIE512,EIE314,EIE314,EIE315,EIE315,BREAK TIME,EIE414,EIE414,EIE418,EIE418,,
EIE,ICE500LH,,,ICE417,ICE417,EEE510,EEE510,BREAK TIME,,,,,,
EIE,LAB,,,,,,,BREAK TIME,EIE318,EIE318,EIE318,EIE518,,
LT,LT1,EIE412,EDS411,GST211,GST211,CST111,CST111,BREAK TIME,GEC517,GEC517,CIT111,CHM111,,
LT,LT2,GEC212,GEC212,GEC117,GEC117,GEC415,GEC415,BREAK TIME,GEC215,GEC215,GEC218,GEC218,,
LT,MATHLAB,MAT216,MAT216,,,,,BREAK TIME,,,,,,
MCE,500L-LR,MCE517,MCE517,,,,,BREAK TIME,MCE553 PRACTICAL,,,,,
,,,,,,,,,,,,,,
MCE,FLUID LAB,,,,,,,BREAK TIME,MCE415/43 1,MCE415/43 1,CHM356,CHM356,,
,,,,,,,,,,,,,,
MCE,LAB,,,MCE516,MCE516,MCE416,MCE416,BREAK TIME,,,CIT313,CIT313,,
MCE,LR P35,,MCE411 PRACTICAL,MCE411 PRACTICAL,,MCE433,MCE433,BREAK TIME,MCE518,MCE518,,,,
,,,,,,,,,,,,,,
MCE,VNL,,,,,,,BREAK TIME,MCE314 PRACTICAL,MCE314 PRACTICAL,MCE314 PRACTICAL,,,
,,,,,,,,,,,,,,
PTE,COMP LAB,PET411,,,,PET317,PET317,BREAK TIME,,,,,,
PTE,P28,PET517,PET517,PET513/PE T510,PET514/PE T534,PET512/53 2,PET512/53 2,BREAK TIME,PET512/PE T532,PET512/PE T532,,,,
,,,,,,,,,,,,,,
PTE,P66,PET314,PET318,PET413,PET414,PET410,PET410,BREAK TIME,PET415,PET415,,,,
SPORTS CENTER,SPORTS CENTER,,,,,,,BREAK TIME,,,,,,
,,,,,,,,,,,,,,
